text,dim_1,dim_2,group_size,group_texts,group_min_sim,cluster,most_frequent,cluster_name
group_42,0.5428830677120665,0.06809071436159311,12,,0.7854008956482744,2,farewell,Deprivation
group_43,-0.6909595710316752,0.7041718103481013,167,,0.784948687732753,2,disappointment,Deprivation
group_44,2.446151917434396,-2.308018358961415,151,,0.7713577684294272,3,defeat,Competitive loss
group_45,-2.250651000881111,-0.8565014057113258,11,,0.7828963110723082,7,losing a possession,Inaccessibility
group_46,2.005313014818768,3.2787239248089786,44,,0.7647269036619788,4,death of friend,Mourning
group_47,-0.6345715707550078,-1.6179551207283756,29,,0.7547733888148372,5,lost opportunity,Financial
group_48,0.5720189077144108,-0.21907604247612708,31,,0.744549431964918,3,ending,Competitive loss
group_49,-0.5217930918806978,-0.18630154046010394,2,,0.7903350805089124,2,unfavored,Deprivation
group_50,0.36068886608870765,0.3700558389349611,4,,0.7511062606717304,2,displacement,Deprivation
group_51,0.5472524411730793,1.0353323341597283,9,,0.7929556452829937,1,disoriented,Emotional Distress
group_52,-2.5035698138565783,-3.2588360331727064,368,,0.7504468786367737,5,money,Financial
group_53,-0.054519912413026894,1.6950505952544237,121,,0.7754711404543408,1,depression,Emotional Distress
group_54,-0.9444855804072272,0.7848939012523858,2,,0.8213119387642766,2,dammit,Deprivation
group_55,0.25886032276270654,-2.473838751368705,130,,0.7433690316313286,5,job,Financial
group_56,3.12393361030485,1.8493728847483908,9,,0.7562217949880581,4,marriage,Mourning
group_57,2.8256434854557035,2.617816331717164,97,,0.7678893849962527,4,family,Mourning
group_58,1.3310162162011636,0.3042186834058045,17,,0.7762408714180413,4,freedom,Mourning
group_59,-2.7176752850507895,-1.0114920684254072,51,,0.7489186368533347,7,theft,Inaccessibility
group_60,-2.1993078735200617,-3.060306201432555,7,,0.7628859203943196,5,spending money,Financial
group_61,-2.047176590882792,-3.1684818590104693,6,,0.759327932445497,5,debit,Financial
group_62,1.0909884263622731,0.8055413394063754,6,,0.7536610518764092,4,mad,Mourning
group_63,0.7518661682002896,-0.29335267666847786,6,,0.7760415197534083,3,unknown,Competitive loss
group_64,2.326633748043077,-2.283406940333394,35,,0.7553610031965385,3,loser,Competitive loss
group_65,-0.42801620567174814,-0.3315235328260516,17,,0.7535832581775741,2,nothing,Deprivation
group_66,0.060638604079255864,1.2670952618494211,73,,0.7731758764449013,1,loneliness,Emotional Distress
group_67,-0.10242688166175831,1.4750460807007282,8,,0.7749267538984064,1,darkness,Emotional Distress
group_68,2.096521309348003,3.2616651849459672,8,,0.7427688404031432,4,funeral,Mourning
group_69,1.4519111744700297,-3.123950992201292,27,,0.7522486075770668,3,card game,Competitive loss
group_70,2.3850926556243115,3.146224223421514,96,,0.7584095861333767,4,family member death,Mourning
group_71,-0.4802544389735709,-2.9726899770693147,306,,0.7454396561066718,5,job loss,Financial
group_72,-2.6699151030209083,-3.0036372227425217,35,,0.7565475168115362,5,debt,Financial
group_73,1.126859735428118,-3.362518208175071,42,,0.7490840263515711,3,lost the lottery,Competitive loss
group_74,-0.11760093788534026,1.7534534546106837,13,,0.7715816051232552,1,cry,Emotional Distress
group_75,-0.812344987184101,1.3714596203066076,16,,0.7852154627527175,2,tragedy,Deprivation
group_76,0.9003129417007436,-0.2659287652304978,57,,0.7447969139833281,3,change,Competitive loss
group_77,0.9951284372948275,-0.22599191807646285,6,,0.7718263843650637,3,transition,Competitive loss
group_78,3.0374715868281648,1.8703634877062587,30,,0.7672388591618646,4,divorce,Mourning
group_79,0.7867918515087625,2.1348549748736265,2,,0.7663493935536873,1,multiple suicide attempts,Emotional Distress
group_80,-0.6163584987592248,0.9734648001412302,2,,0.8135336913975472,2,a negative experience,Deprivation
group_81,1.2845287910354317,0.602192830396995,42,,0.7762886518462916,4,longing,Mourning
group_82,0.26111996735128684,2.4630762949671037,17,,0.7452358524585135,1,losing physical ability,Emotional Distress
group_83,0.4241836255474395,0.8517139956271456,10,,0.7803541359921586,2,loss of autonomy,Deprivation
group_84,1.8397586785681284,1.1158273779845502,2,,0.8005510255977873,4,heaven,Mourning
group_85,0.3598954677642344,1.6804374906112094,45,,0.7731484850934152,1,anxiety,Emotional Distress
group_86,-0.48462380999242827,1.2852356371510658,13,,0.7421192609931684,1,bitter,Emotional Distress
group_87,0.6804059558328078,1.8128610493744395,1,,1,1,self-harm,Emotional Distress
group_88,0.4444602528008703,2.0419949172859666,6,,0.823743690114089,1,numbness,Emotional Distress
group_89,-0.09495654800151726,0.7205230017650124,29,,0.7593562623003853,2,alone,Deprivation
group_90,-2.8594904588140984,-2.4630066568719218,130,,0.7452676555295916,5,loss of money,Financial
group_91,0.4709769212708145,2.003380305555941,7,,0.7692292876589355,1,diminishing eyesight,Emotional Distress
group_92,0.07117133290282512,-0.4934544072505282,9,,0.7631933537162412,2,lost my way,Deprivation
group_93,1.8206842988323304,-2.154915505751982,72,,0.7561261993171539,3,competition,Competitive loss
group_94,0.6701546214590984,1.218072426484814,7,,0.7903326940966412,1,going crazy,Emotional Distress
group_95,-0.7619070624245312,-0.659072972053131,38,,0.7524900320604833,2,less,Deprivation
group_96,-0.7211868853864294,-0.08007292051395976,3,,0.8682414981684888,2,gap,Deprivation
group_97,0.2922233043068393,1.567888121859451,63,,0.7622266761042705,1,fear,Emotional Distress
group_98,-1.176609451815604,-0.6725074643425922,44,,0.7662802647014353,7,lost,Inaccessibility
group_99,0.5461347599131483,0.26745782348892605,16,,0.7668039780656152,2,doubt,Deprivation
group_100,-0.133020497512715,1.632189873319712,144,,0.7534203106912014,1,anger,Emotional Distress
group_101,-0.3683612074102096,0.7749258790524599,132,,0.7799137336518415,2,regret,Deprivation
group_102,0.8129784817977835,-0.23913676711043624,2,,0.7803502547915262,3,move forward,Competitive loss
group_103,2.411537510398125,1.747316344529147,12,,0.7442679108211683,4,missing someone,Mourning
group_104,-2.742028143368597,-3.027694801395311,21,,0.774851218694395,5,financial struggles,Financial
group_105,-0.45230608688732177,-0.29878500636386895,2,,0.7586834503515334,2,no communication,Deprivation
group_106,0.45670919682976063,1.0776773740629988,4,,0.7471855289428537,1,can't talk again,Emotional Distress
group_107,2.4586657468927013,1.4853259116638924,10,,0.7631746098270105,4,loss of companionship,Mourning
group_108,2.2488919177876996,2.8054901992030445,122,,0.7612780468431369,4,losing a loved,Mourning
group_109,-2.0208912259283305,-0.5685227625044983,8,,0.7872433751665804,7,missing a piece,Inaccessibility
group_110,0.6320555376024418,1.2079820619613568,2,,0.7779668229148825,1,losing mentalpsychological direction,Emotional Distress
group_111,0.8255375178513638,-0.0870491845977957,3,,0.806370559187215,3,accepting change,Competitive loss
group_112,0.14361819464703776,-1.5014894504999474,10,,0.7668688298034787,5,failed goal,Financial
group_113,-0.7937549481821152,-0.8135728899232347,26,,0.7534016308113143,2,missing something,Deprivation
group_114,0.2922602111395921,2.3707676853057205,133,,0.7526517479759463,1,pain,Emotional Distress
group_115,-0.32925032888170724,0.2945061930241388,4,,0.749091773168509,2,delete,Deprivation
group_116,0.146890498280925,-0.1544173459799285,6,,0.8416629483112453,2,never coming back,Deprivation
group_117,-0.5793547901624921,-0.5018051474799885,2,,0.7917309986329601,2,not around,Deprivation
group_118,-2.0968567760716597,-0.9520848273133202,52,,0.7703895229797264,7,lost my home,Inaccessibility
group_119,2.956835463241582,1.1758811957327384,4,,0.7651656818275137,4,fight with friend,Mourning
group_120,-1.381540502228096,-0.3608106573258595,91,,0.7602259062932981,7,misplaced,Inaccessibility
group_121,-0.4256150808003566,3.2691293997496547,87,,0.7664113942526141,1,weight,Emotional Distress
group_122,0.04820615555660396,-1.6461629548404342,38,,0.7503739073448005,5,unsuccessful,Financial
group_123,-0.1571240663656038,0.5896676926020344,4,,0.7529170453269719,2,emotional setback,Deprivation
group_124,1.4598298202923206,2.4354528858142706,5,,0.7568763316304763,4,acceptance grief,Mourning
group_125,-1.486179921313511,0.041692609202587716,12,,0.7590793561037212,7,homelessness,Inaccessibility
group_126,0.4198155831007,0.09586448806351297,39,,0.7505668180152031,2,confusion,Deprivation
group_127,-0.06719263286827462,-0.42450803074676213,12,,0.8317121792626707,2,behind,Deprivation
group_128,-0.677460785742858,-0.5806662114640266,24,,0.7522830750896661,2,inadequate,Deprivation
group_129,0.6567858940151431,0.048516406794066075,15,,0.7832872749955302,2,forfeit,Deprivation
group_130,0.35244309901318793,0.8922389824562146,9,,0.7699838652803134,2,lack of control,Deprivation
group_131,1.8786859006649967,-0.013315412838641322,10,,0.7912479537299633,4,energy,Mourning
group_132,0.13920267583294474,1.810496530905752,23,,0.7770381951226639,1,crying,Emotional Distress
group_133,0.48589312382436833,0.3587988578818589,4,,0.7531308607907767,2,ambivalent,Deprivation
group_134,-0.7225368744522578,0.8867063335526676,12,,0.7574225660589404,2,unfortunate,Deprivation
group_135,-1.027965794444915,0.8746185536324168,37,,0.7657635280055509,2,misfortune,Deprivation
group_136,0.46759563626482026,0.47163937047187365,4,,0.8640650045922856,2,overwhelmed,Deprivation
group_137,2.380122007611275,0.5797829423516396,8,,0.7933186128987569,4,connection,Mourning
group_138,1.7160159354362623,0.30855580831368923,2,,0.8422235340647142,4,belief,Mourning
group_139,1.927618952919354,-0.397309647951126,4,,0.786039495022062,3,help,Competitive loss
group_140,2.1946880967597906,0.6756670567791886,3,,0.7530276533081625,4,interaction,Mourning
group_141,0.37605428500589777,2.809963800678231,24,,0.7828833257238365,4,health decline,Mourning
group_142,1.7725653997824735,2.6425109322880815,29,,0.7420699056619419,4,losing loved ones,Mourning
group_143,-2.8091512047388547,-2.8960592504747185,17,,0.7451548747298299,5,financial decline,Financial
group_144,0.6086243584919234,2.356677275161717,14,,0.7592222383368998,1,mental health,Emotional Distress
group_145,2.5311435211090525,1.580697633114133,44,,0.7840345282746449,4,lost friends,Mourning
group_146,2.109573746766713,3.1851672787093595,63,,0.7812647486662896,4,loved ones,Mourning
group_147,-0.5999254656964601,0.3594495935782852,28,,0.7449399926622866,2,mistake,Deprivation
group_148,-0.5357174740300511,0.8998378942178417,8,,0.7695473945567985,2,trouble,Deprivation
group_149,0.3009152444875415,-1.7374640487124875,5,,0.7529157567582451,5,failed in game,Financial
group_150,-0.136216936199093,0.15089819259048143,36,,0.7866109812512614,2,setback,Deprivation
group_151,-2.8327005353391326,-2.376494413684091,1,,1,5,shorted checks,Financial
group_152,-2.423744448367078,-2.5132240933800682,4,,0.7678035531720244,5,missed bill payment,Financial
group_153,-0.08200736133795966,1.5179997352183103,21,,0.7486185145086597,1,suffering,Emotional Distress
group_154,-1.4425121557943115,-2.0883633255338427,15,,0.743821674706443,7,missed financial gain,Inaccessibility
group_155,-2.5737109473264144,-0.2963718675986843,15,,0.7509806163300585,7,lost favorite shirt,Inaccessibility
group_156,-2.888775263288462,2.8847055043137657,5,,0.8055325343807022,6,chicken died suddenly,Material deprivation
group_157,-3.5562411507441762,0.5671690009236686,36,,0.7512273059364569,6,lost my car,Material deprivation
group_158,-2.69838082029781,-1.594801295922898,29,,0.7471043512484579,5,lost credit card,Financial
group_159,-2.016282245651227,1.0972560300767387,25,,0.7429263586265309,6,damage,Material deprivation
group_160,-2.3834810404924953,-2.9380764340515686,9,,0.74303731279309,5,financial error,Financial
group_161,0.3879033209787367,-0.5423489012112155,9,,0.8438854535336259,2,irreplaceable,Deprivation
group_162,-0.13669500997236567,0.14844856622064279,20,,0.7442873240326047,2,disappear,Deprivation
group_163,-2.4613059967268702,0.6962703193422609,7,,0.768758678129887,6,something breaking,Material deprivation
group_164,-0.18465995341894034,1.5081299048352301,53,,0.7970670433614526,1,despair,Emotional Distress
group_165,0.0909162359149864,0.23000092585391652,7,,0.7544329926071308,2,away,Deprivation
group_166,-0.6070607097547602,-0.551280722937212,7,,0.7451954862145426,2,unachieved,Deprivation
group_167,-0.340461724128153,-0.33018963574412913,6,,0.7735301787585496,2,hidden,Deprivation
group_168,-1.8771922419531462,-2.9602811319053304,2,,0.77999507880783,5,compensation,Financial
group_169,-2.690260231703754,-0.8645602139857802,8,,0.7947533430337501,7,item loss,Inaccessibility
group_170,2.8744320819692426,1.6557410762489657,34,,0.7605334504566339,4,loss of relationship,Mourning
group_171,0.8973012927667097,1.303385044797325,7,,0.7442192531253693,1,loss of self,Emotional Distress
group_172,-0.339157530753711,1.3854956338064315,6,,0.7480130255694101,1,resentment,Emotional Distress
group_173,0.24944153263858151,1.933669029414549,41,,0.7756482743801605,1,heartbreak,Emotional Distress
group_174,1.9897210848522984,-2.136194405780048,68,,0.7818292126141522,3,not winning,Competitive loss
group_175,0.1722935889419163,-0.840814260730232,2,,0.7773192666156659,2,not doing best,Deprivation
group_176,2.9840676310440712,1.7924656310880884,70,,0.7425333786101274,4,breakup,Mourning
group_177,-0.2837537280227245,-2.979232539602451,16,,0.7704928680468934,5,job termination,Financial
group_178,2.539193859557915,1.8323027351475596,239,,0.7431206653237223,4,lost a friend,Mourning
group_179,1.1893031736417012,1.5692943429034747,2,,0.7782491997391642,4,ghost,Mourning
group_180,0.7768342288450821,1.8051407072397345,24,,0.7655859964944375,1,emotional,Emotional Distress
group_181,1.5457690544407143,-0.37042344258048493,2,,0.750760125931724,3,limited,Competitive loss
group_182,0.22419336618228905,1.6434438200411652,24,,0.792052542492794,1,stress,Emotional Distress
group_183,-0.42912847207812466,1.4052071864697426,101,,0.7470215088245794,1,frustration,Emotional Distress
group_184,0.10283736041127067,0.8081967149474374,12,,0.773759465714401,2,stability,Deprivation
group_185,0.24023978558259598,0.15285902501403553,6,,0.7716719210131459,2,over,Deprivation
group_186,0.302075714369723,1.4983666887554352,12,,0.7555082255210768,1,anxious,Emotional Distress
group_187,0.06967156377299535,1.4832847746899427,3,,0.8056377540988514,1,scary,Emotional Distress
group_188,-0.6341620998821809,0.08794013892050973,2,,0.7950615538002962,2,lack of privilege,Deprivation
group_189,-2.8702238724911355,-0.557013401077792,31,,0.7451304835773414,7,lost item,Inaccessibility
group_190,-0.8237085910225824,0.723582709353282,18,,0.8257310401889164,2,decline,Deprivation
group_191,1.809150425530562,-2.8617672280797817,71,,0.744597930897335,3,game,Competitive loss
group_192,2.5887547749848174,1.09383292807098,89,,0.7596258096202968,4,friend,Mourning
group_193,-1.8457861899717436,0.6583831195194016,19,,0.7811220591609428,6,broke,Material deprivation
group_194,-0.7324758951739002,-0.46740343590612615,13,,0.7554213703406809,2,minus,Deprivation
group_195,-0.344495099666137,-0.11378743000119701,41,,0.7496471382527077,2,negative,Deprivation
group_196,-1.0436924637152436,0.451904610167541,26,,0.7470124582721911,2,poor,Deprivation
group_197,2.35257562096035,0.7201109635668023,41,,0.7763458695416326,4,love,Mourning
group_198,1.1467522183234649,0.7839919338371786,6,,0.7592657388379835,4,peace,Mourning
group_199,-0.41944417624853114,-0.8313755597512288,10,,0.7756274336934099,2,unprepared,Deprivation
group_200,0.026045853936220942,1.5004732676862873,7,,0.766917829555411,1,shock,Emotional Distress
group_201,0.5782545223692992,0.34556415577922434,5,,0.8292841858537924,2,disbelief,Deprivation
group_202,0.6980764605630047,1.108492832533349,3,,0.7544714857225846,1,blank mind,Emotional Distress
group_203,-1.1341149533986612,-2.5410247341736265,8,,0.7837928020595998,5,no gain,Financial
group_204,-0.1872826133705016,1.3567973074313624,13,,0.7491603348464677,1,feeling empty,Emotional Distress
group_205,-0.7414221940576581,-0.7156113002182172,7,,0.7726065798389525,2,not having something,Deprivation
group_206,-2.7921951375400527,-0.5806158148841101,16,,0.7770172812455859,7,lost and found,Inaccessibility
group_207,2.59949720855705,2.6926336076705537,15,,0.7459533854480127,4,lost family friend,Mourning
group_208,2.0385345024816774,-2.696627798497692,69,,0.7468423590342741,3,sports,Competitive loss
group_209,2.3612570591334925,-0.46088263553691805,23,,0.7750832394366683,3,people,Competitive loss
group_210,2.596091792646024,1.1820778294579872,111,,0.7456323722703804,4,friends,Mourning
group_211,-1.6537308164967013,-0.838274750580709,24,,0.7732123695464701,7,possessions,Inaccessibility
group_212,-2.7709511555203696,2.7614434344519587,22,,0.7815713274956931,6,pets,Material deprivation
group_213,-0.24990758618237272,0.34742539479635776,5,,0.8078336418640615,2,drifting apart,Deprivation
group_214,1.488706050981284,-0.679523176082132,1,,1,3,sand in hourglass,Competitive loss
group_215,-0.8289364261061989,-1.6081722681402844,28,,0.8564590966142501,7,missing out,Inaccessibility
group_216,-1.9959292898251764,0.7149142761890116,2,,0.7652372197865995,6,fire out break,Material deprivation
group_217,1.7487319062156077,0.3501765333264609,19,,0.7792759814654482,4,respect,Mourning
group_218,1.1299678820700338,0.9927065681446902,6,,0.8526103983631811,4,dignity,Mourning
group_219,1.71343673511395,0.3604977894336714,3,,1,4,pride,Mourning
group_220,1.3366556222699144,-0.4898997689122724,2,,0.7554324843066911,3,beginning,Competitive loss
group_221,1.1435401923890978,0.3097570054955578,15,,0.7910122164498045,4,growth,Mourning
group_222,1.8002134263042535,-2.9166983272403715,52,,0.7442952264477396,3,games,Competitive loss
group_223,-2.722609438149425,-3.419774962080365,21,,0.7765673841114419,5,stock market,Financial
group_224,-1.89179738902307,-2.948601805160893,6,,0.7453489984047408,5,profit,Financial
group_225,-3.0756591520435683,-3.0172453408346978,18,,0.7500795500897628,5,stock market crash,Financial
group_226,-2.7493351417187686,-2.1139063265117364,6,,0.7628781955042899,5,scammed out money,Financial
group_227,0.7157707807017215,-1.0381245137698336,8,,0.7831757817872801,3,try,Competitive loss
group_228,1.3555092608744568,-0.8027786806671101,21,,0.8011580513396394,3,learning,Competitive loss
group_229,-0.32973328324582185,0.26646210320426084,6,,0.7483436182141211,2,avoid,Deprivation
group_230,-2.8793109327094606,-0.6076268327224137,118,,0.7432822675117576,7,lost personal item,Inaccessibility
group_231,1.850466922152882,-0.5584017390719765,53,,0.8038389449074883,3,keys,Competitive loss
group_232,-3.497587993664586,0.7960928233118054,39,,0.7702675211997649,6,car,Material deprivation
group_233,-2.833203049920083,-0.8321584153691475,10,,0.7594772497738989,7,lost my purse,Inaccessibility
group_234,-2.7077773173109914,2.8198122283411653,36,,0.7526013683856869,6,dog,Material deprivation
group_235,2.1180679232398383,0.1610359277791214,3,,0.7486975222586258,4,beauty,Mourning
group_236,0.9427881052189453,0.4023433370503253,4,,0.7922472661151706,4,attention,Mourning
group_237,1.7861742200609196,-0.6886119614048302,5,,0.8646703328236685,3,things,Competitive loss
group_238,-0.27459846271565047,1.2783122753767762,9,,0.8205361989903182,1,envy,Emotional Distress
group_239,-0.8886119651780457,0.41166475177432116,2,,0.7713485644227263,2,lousy,Deprivation
group_240,1.7554494466863737,3.1477489779363754,5,,0.7560742941490903,4,afterlife,Mourning
group_241,-2.4958602335978837,-2.6319180071131476,13,,0.7902008107387422,5,less money,Financial
group_242,-0.3009496806194907,-0.8797858188637935,3,,0.8103345754823761,2,less qualified,Deprivation
group_243,1.6998617511376444,-2.165223316501316,9,,0.7781277784574526,3,race,Competitive loss
group_244,-2.685081213476681,-3.4248738776577516,35,,1,5,stocks,Financial
group_245,-2.332603868873369,-3.199555036486536,5,,0.8618247152568638,5,taxes,Financial
group_246,-0.935395114956545,0.6398853920686887,5,,0.7524772860573639,2,sucks,Deprivation
group_247,-1.2247615370594411,-2.7366068444618974,14,,0.7483477007128783,5,gains,Financial
group_248,-2.567831754189686,-2.0234213911098697,6,,0.744538791245982,5,big loss,Financial
group_249,2.423945800879668,1.432968663557499,9,,0.7433801941116696,4,lost social connection,Mourning
group_250,2.21897143755887,1.9775628582579552,24,,0.7606117366217393,4,separation,Mourning
group_251,-1.5433220166600994,1.2421027442690433,10,,0.791875397871834,2,devastation,Deprivation
group_252,0.3473192539996439,1.9329708271036976,12,,0.7850896297849738,1,trauma,Emotional Distress
group_253,-0.050166541830478764,-1.346324837765481,4,,0.8081440615666926,5,underperforming,Financial
group_254,0.004448566642299007,-2.271302682084182,4,,0.7912067421088607,5,lost company trust,Financial
group_255,2.849779972794689,0.6851114193831914,2,,0.7693054685639138,4,divisive political tension,Mourning
group_256,-0.32824263782646224,1.5183695545765739,1,,1,1,climate change despair,Emotional Distress
group_257,-1.3077020718831887,-0.6745130336472234,14,,0.7582732642513583,7,no longer have,Inaccessibility
group_258,-0.052791660609548624,0.41639136440494784,10,,0.7660065729162537,2,deprive,Deprivation
group_259,-0.3507624779941637,-0.3322570701292127,6,,0.7798147183558858,2,gone forever,Deprivation
group_260,1.430726507224829,-1.2172022466767873,2,,1,3,passed,Competitive loss
group_261,1.1749215821370858,-0.24436877306646648,7,,0.7995140876582761,3,taken,Competitive loss
group_262,-0.40235595133697166,0.32288126575698484,13,,0.7638623969282909,2,removed,Deprivation
group_263,-0.12490674227442573,-0.5688058618489737,31,,0.7537468658205708,2,can't find,Deprivation
group_264,0.48303835810381357,1.8926879401711436,14,,0.7551447854965756,1,hearing,Emotional Distress
group_265,1.1269024591351253,0.9765177887946245,4,,0.7737133485215271,4,vision,Mourning
group_266,2.4470010162665377,1.523609178344386,3,,0.7613617827099655,4,away from friends,Mourning
group_267,0.33536474217545476,-1.6044231036105483,2,,0.8336820296248411,5,excessive work,Financial
group_268,1.4930288995349676,3.334804187447553,8,,0.7523746005026515,4,casualties,Mourning
group_269,2.6043978772533922,-2.8069489001146257,42,,0.742444663611826,3,team loses game,Competitive loss
group_270,-2.366854895361977,1.6692289668625269,2,,0.781226709868762,6,farm crop yields,Material deprivation
group_271,-2.539446864706688,2.567066429993486,4,,0.7553917124177686,6,livestock,Material deprivation
group_272,-0.9024767449988927,-1.6189031493805746,64,,0.7544571155060038,7,missed opportunity,Inaccessibility
group_273,2.833597300149777,1.6028099409922416,11,,0.7550344942652965,4,failed relationships,Mourning
group_274,-0.3047532197300407,-0.9744655598375017,5,,0.7984010355933242,2,lack of effort,Deprivation
group_275,0.24217634422878534,1.9512028087978455,25,,0.775810088494144,1,heartache,Emotional Distress
group_276,1.6589262925385462,3.2676550071539294,14,,0.7419677624893073,4,deaths,Mourning
group_277,2.1160090570623646,-2.7797846413905276,6,,0.8096745481963624,3,baseball,Competitive loss
group_278,1.7772415698351018,-1.0323193963397457,4,,0.7430136078978906,3,bad record,Competitive loss
group_279,1.000232257051262,-0.8976301037697852,7,,0.7489487980158573,3,do better,Competitive loss
group_280,1.9930554437011376,-2.240886954642973,5,,0.759250482235103,3,win next time,Competitive loss
group_281,-2.1463021367973902,-3.1101867960071257,22,,0.7971186519196578,5,income,Financial
group_282,1.4658758642752887,-0.11962080599835917,3,,0.7621245027092056,4,will,Mourning
group_283,1.1729313051839776,2.3539082901353234,8,,0.7475864338137219,4,emotional loss,Mourning
group_284,-0.41414232155815567,3.2309328994242352,45,,0.7651770463842119,1,weight loss,Emotional Distress
group_285,1.4143634713953699,2.673506380074631,14,,0.7603124652419178,4,personal loss,Mourning
group_286,-0.8515711625822548,0.972705084099769,4,,0.7481578739177438,2,cursed,Deprivation
group_287,-0.9728374475089483,0.426845552123842,4,,0.746253410898149,2,bum,Deprivation
group_288,0.3094465580561082,2.1079248280578757,15,,0.758564456316595,1,emotional pain,Emotional Distress
group_289,2.417652270806377,-0.16204759820061931,1,,1,3,i' the best,Competitive loss
group_290,0.3908612735222665,-2.4214780533575535,23,,0.7709792283380777,5,work,Financial
group_291,1.1937569451210102,1.4584195458082516,15,,0.781922638611271,4,memory loss,Mourning
group_292,2.428018394749512,-2.91091882922486,163,,0.7653982791668938,3,losing a game,Competitive loss
group_293,0.39977445631888053,-2.418428371700089,19,,0.7518218320921884,5,jobs,Financial
group_294,1.3344335970738928,-3.3936962963149573,84,,0.7417715437517479,3,gambling,Competitive loss
group_295,0.18171158839542503,-1.6288911942769109,41,,0.7621498625678511,5,failing,Financial
group_296,-0.3916444335540358,0.46086709014550864,2,,0.7489854369097189,2,distort historical truth,Deprivation
group_297,-0.533052782710255,0.3459585198887605,7,,0.7770888201327923,2,wrong,Deprivation
group_298,-0.23870500307519965,1.8491848148825856,9,,0.7795125757842583,1,loss of energy,Emotional Distress
