word,text,cluster,cluster_name,frequency,group_dim_1,group_dim_2,orig
"Catastrophic, negative.",group_1129,3,Deprivation,1,1.0699901988912193,0.07695776355113285,Papers
"Cellular, Genetic.",group_2784,4,Emotional Turmoil,1,-0.9855854651502862,-1.6319573951304422,Papers
Certain and potential losses.,group_2595,2,Financial,1,-3.371636964555904,1.687661545599382,Papers
Certain and uncertain losses,group_48,2,Financial,1,-3.1418229618266835,2.0308237930448354,Papers
Certain loss avoidance,group_2622,2,Financial,1,-3.2264624517044975,1.8765247288033524,Papers
Certain losses.,group_2647,2,Financial,1,-3.104321651036301,1.046091615688883,Papers
Certain perceived losses,group_2593,2,Financial,1,-3.2277024729798125,1.1265526759244868,Papers
Chance and size losses,group_2652,2,Financial,1,-3.503714640626656,1.3542430256201525,Papers
Charter value loss.,group_2245,2,Financial,1,-3.204331789662783,1.9876773369509608,Papers
Childhood emotional losses.,group_993,4,Emotional Turmoil,1,-1.1385580067682075,-1.6728452507538742,Papers
Client financial losses,group_784,5,Career and Life Setbacks,1,-1.4145853781212638,2.0967130204491387,Papers
Cognitive and Metamemory,group_2694,6,Detriment,1,-2.6474158574161333,0.39919307053100334,Papers
Cognitive and decision-making.,group_2004,2,Financial,1,-2.35599221796609,1.661792244874932,Papers
Cognitive and emotional losses.,group_2639,6,Detriment,1,-2.5910637423058436,0.10667080722640639,Papers
Cognitive and memory losses.,group_2639,6,Detriment,1,-2.5910637423058436,0.10667080722640639,Papers
Cognitive and neuropsychological losses.,group_2639,6,Detriment,1,-2.5910637423058436,0.10667080722640639,Papers
Cognitive effort losses.,group_2639,6,Detriment,2,-2.5910637423058436,0.10667080722640639,Papers
Cognitive functional losses.,group_2639,6,Detriment,1,-2.5910637423058436,0.10667080722640639,Papers
Cognitive losses.,group_2639,6,Detriment,3,-2.5910637423058436,0.10667080722640639,Papers
"Cognitive, emotional.",group_2004,2,Financial,1,-2.35599221796609,1.661792244874932,Papers
Collective and ingroup losses,group_1620,6,Detriment,1,-2.553015501926941,0.28190263750603667,Papers
Collective environmental resource loss.,group_2649,2,Financial,1,-2.696718468255919,0.9686795157222787,Papers
Compound and simple losses,group_2659,2,Financial,1,-3.2824475822285333,1.6485403170929038,Papers
Configural encoding losses,group_2753,2,Financial,1,-3.4544104018990023,1.0811109244367645,Papers
Configural processing loss.,group_2753,2,Financial,1,-3.4544104018990023,1.0811109244367645,Papers
Consumption losses.,group_1705,2,Financial,1,-3.177581390138954,1.737427732115259,Papers
Contractual and financial.,group_2633,2,Financial,1,-2.339182367573288,2.3471605507379874,Papers
Control loss.,group_2765,6,Detriment,1,-2.0801894163595303,0.4972674098663857,Papers
Counterfactual decision,group_2711,2,Financial,1,-3.446730142699419,1.1918204004364943,Papers
Counterfactual losses.,group_2711,2,Financial,1,-3.446730142699419,1.1918204004364943,Papers
Counterfactual outcome losses.,group_2711,2,Financial,1,-3.446730142699419,1.1918204004364943,Papers
Credibility and resource losses.,group_2424,6,Detriment,1,-2.1605229170584783,0.24049670631605274,Papers
Credit losses,group_605,2,Financial,1,-2.3421629054836495,2.8061856685178728,Papers
Crop losses,group_2261,2,Financial,1,-2.8126079390902836,1.1080850186402338,Papers
Crop losses.,group_2261,2,Financial,1,-2.8126079390902836,1.1080850186402338,Papers
Cultural heritage loss.,group_1723,6,Detriment,1,-2.377815118993092,0.517595930285266,Papers
Cultural heritage losses,group_1723,6,Detriment,1,-2.377815118993092,0.517595930285266,Papers
Cultural identity losses.,group_242,6,Detriment,1,-1.9367294647578146,-0.11427631491814455,Papers
"Cultural loss, Resource loss",group_1723,6,Detriment,1,-2.377815118993092,0.517595930285266,Papers
Cultural losses.,group_1723,6,Detriment,1,-2.377815118993092,0.517595930285266,Papers
Customer and profit.,group_2209,2,Financial,1,-2.3141046436932844,2.159584285643931,Papers
Customer and revenue losses.,group_2260,2,Financial,1,-3.050849599329398,1.853705977063996,Papers
Customer loss discrimination.,group_2260,2,Financial,1,-3.050849599329398,1.853705977063996,Papers
"Customer loss, financial loss.",group_2260,2,Financial,1,-3.050849599329398,1.853705977063996,Papers
"Data loss, information loss.",group_2642,6,Detriment,1,-2.6615176897120065,0.3629292981494916,Papers
Deadweight loss,group_546,6,Detriment,1,-3.081937492812237,-1.0450375532976464,Papers
Deadweight loss.,group_546,6,Detriment,3,-3.081937492812237,-1.0450375532976464,Papers
"Death, bereavement.",group_19,4,Emotional Turmoil,1,-1.531378795808859,-1.3906922606245922,Papers
Decision quality losses.,group_2703,2,Financial,1,-3.0729998749271363,0.901297160866162,Papers
Decision-making accuracy losses.,group_2703,2,Financial,1,-3.0729998749271363,0.901297160866162,Papers
Decision-making capacity loss.,group_2703,2,Financial,1,-3.0729998749271363,0.901297160866162,Papers
Decision-making cognitive losses,group_2703,2,Financial,1,-3.0729998749271363,0.901297160866162,Papers
Decision-making losses.,group_2594,2,Financial,1,-3.3049915970858104,1.455542904395412,Papers
Decision-making quality losses.,group_2703,2,Financial,1,-3.0729998749271363,0.901297160866162,Papers
Decision-related losses,group_2594,2,Financial,1,-3.3049915970858104,1.455542904395412,Papers
Delayed losses.,group_2614,2,Financial,1,-3.328754170019865,1.567268437673677,Papers
Development-induced economic losses.,group_2253,2,Financial,1,-2.8359632609975023,1.3893507693052465,Papers
Diminishing sensitivity losses.,group_2704,2,Financial,1,-3.3631302968980705,0.9566308559223461,Papers
Direct and indirect losses.,group_2755,2,Financial,2,-3.2945731155444893,1.6703915191498697,Papers
"Direct, Indirect, Human.",group_2776,5,Career and Life Setbacks,1,-1.7605162926638163,1.1910807182130918,Papers
"Direct, Indirect, Opportunity.",group_2776,5,Career and Life Setbacks,1,-1.7605162926638163,1.1910807182130918,Papers
Disease economic losses.,group_2253,2,Financial,1,-2.8359632609975023,1.3893507693052465,Papers
Disease loss intensity,group_2726,2,Financial,1,-3.0403136917439557,0.6124494712190629,Papers
Downward adaptation losses.,group_2704,2,Financial,1,-3.3631302968980705,0.9566308559223461,Papers
Dramatic decision losses.,group_2703,2,Financial,1,-3.0729998749271363,0.901297160866162,Papers
Earning losses.,group_2614,2,Financial,1,-3.328754170019865,1.567268437673677,Papers
Earnings losses,group_348,2,Financial,1,-3.1731242524638983,1.9956610729370086,Papers
Ecological losses.,group_2649,2,Financial,1,-2.696718468255919,0.9686795157222787,Papers
"Ecological, Economic.",group_2693,2,Financial,1,-2.389113035219123,1.491845098191075,Papers
Economic Business Interruption,group_2778,2,Financial,1,-2.2195877510478415,1.8394261435271357,Papers
Economic Human Life,group_2621,2,Financial,1,-2.387416103664245,1.5699938318029383,Papers
Economic Private Financial Losses,group_263,2,Financial,1,-3.1556534278242028,1.974623968314589,Papers
Economic and Environmental,group_2693,2,Financial,1,-2.389113035219123,1.491845098191075,Papers
Economic and Opportunity Losses,group_2524,2,Financial,1,-3.153740653462327,1.4287946226613488,Papers
Economic and Property,group_2730,2,Financial,1,-2.3215127419646007,1.8386609278192305,Papers
Economic and animal.,group_2608,2,Financial,1,-2.3234272133950027,1.7234639954726954,Papers
Economic and ecological losses.,group_2649,2,Financial,1,-2.696718468255919,0.9686795157222787,Papers
Economic and environmental losses,group_2649,2,Financial,1,-2.696718468255919,0.9686795157222787,Papers
Economic and environmental losses.,group_2649,2,Financial,3,-2.696718468255919,0.9686795157222787,Papers
Economic and financial losses,group_2253,2,Financial,1,-2.8359632609975023,1.3893507693052465,Papers
Economic and financial losses.,group_2253,2,Financial,2,-2.8359632609975023,1.3893507693052465,Papers
Economic and health losses,group_2253,2,Financial,1,-2.8359632609975023,1.3893507693052465,Papers
Economic and health.,group_2596,2,Financial,1,-2.3420492769594423,1.873612558496382,Papers
Economic and human.,group_2668,2,Financial,1,-2.3064649737797427,1.7596494211477767,Papers
Economic and inspection losses.,group_2253,2,Financial,1,-2.8359632609975023,1.3893507693052465,Papers
Economic and opportunity losses.,group_2524,2,Financial,2,-3.153740653462327,1.4287946226613488,Papers
Economic and pecuniary losses.,group_2253,2,Financial,1,-2.8359632609975023,1.3893507693052465,Papers
Economic and production losses.,group_2675,2,Financial,1,-2.822586116442568,1.3754852401376445,Papers
Economic and property.,group_2730,2,Financial,1,-2.3215127419646007,1.8386609278192305,Papers
Economic and safety losses,group_2606,2,Financial,1,-2.8941469902249874,1.023193234879534,Papers
Economic and sensory.,group_2668,2,Financial,1,-2.3064649737797427,1.7596494211477767,Papers
Economic and social,group_2615,2,Financial,1,-2.276644587103641,1.7140255442168124,Papers
Economic and social losses,group_2612,2,Financial,1,-2.828763806663095,1.054761144488253,Papers
Economic and social losses.,group_2612,2,Financial,5,-2.828763806663095,1.054761144488253,Papers
Economic and social.,group_2615,2,Financial,1,-2.276644587103641,1.7140255442168124,Papers
Economic damage losses.,group_2253,2,Financial,1,-2.8359632609975023,1.3893507693052465,Papers
Economic decision-making losses,group_2594,2,Financial,1,-3.3049915970858104,1.455542904395412,Papers
Economic ecological losses,group_2649,2,Financial,1,-2.696718468255919,0.9686795157222787,Papers
Economic environmental losses,group_2649,2,Financial,1,-2.696718468255919,0.9686795157222787,Papers
Economic environmental losses.,group_2649,2,Financial,1,-2.696718468255919,0.9686795157222787,Papers
Economic environmental social,group_2693,2,Financial,1,-2.389113035219123,1.491845098191075,Papers
Economic financial losses.,group_2253,2,Financial,1,-2.8359632609975023,1.3893507693052465,Papers
Economic flood damage.,group_2609,2,Financial,1,-3.149700109021415,2.0250462282224735,Papers
Economic health losses,group_2253,2,Financial,1,-2.8359632609975023,1.3893507693052465,Papers
Economic leakages,group_2739,2,Financial,1,-2.394173489636445,1.82992196172966,Papers
Economic loss.,group_2253,2,Financial,2,-2.8359632609975023,1.3893507693052465,Papers
Economic losses,group_2253,2,Financial,3,-2.8359632609975023,1.3893507693052465,Papers
Economic losses drought,group_2253,2,Financial,1,-2.8359632609975023,1.3893507693052465,Papers
Economic losses.,group_2253,2,Financial,29,-2.8359632609975023,1.3893507693052465,Papers
Economic opportunity losses.,group_2524,2,Financial,1,-3.153740653462327,1.4287946226613488,Papers
Economic policy losses.,group_2253,2,Financial,1,-2.8359632609975023,1.3893507693052465,Papers
Economic production losses.,group_2675,2,Financial,1,-2.822586116442568,1.3754852401376445,Papers
Economic social losses,group_2612,2,Financial,1,-2.828763806663095,1.054761144488253,Papers
Economic supply chain losses,group_2744,2,Financial,1,-3.2282165612738973,1.5168389583385729,Papers
Economic time losses,group_2630,2,Financial,1,-3.200753464426249,1.5227582859065951,Papers
Economic welfare loss.,group_2611,2,Financial,1,-2.746612790189369,1.2284396956185397,Papers
Economic welfare losses.,group_2611,2,Financial,3,-2.746612790189369,1.2284396956185397,Papers
Economic wind damages,group_2758,3,Deprivation,1,2.4770566583260742,-1.4761337748487329,Papers
"Economic, Asset.",group_2750,2,Financial,1,-2.300612466499232,1.7959799807935797,Papers
"Economic, Competitive, Social",group_2615,2,Financial,1,-2.276644587103641,1.7140255442168124,Papers
"Economic, Cultural, Social",group_2615,2,Financial,1,-2.276644587103641,1.7140255442168124,Papers
"Economic, Ecological.",group_2693,2,Financial,1,-2.389113035219123,1.491845098191075,Papers
"Economic, Environmental, Health",group_2693,2,Financial,1,-2.389113035219123,1.491845098191075,Papers
"Economic, Environmental.",group_2693,2,Financial,2,-2.389113035219123,1.491845098191075,Papers
"Economic, Fatalities.",group_2606,2,Financial,1,-2.8941469902249874,1.023193234879534,Papers
"Economic, Financial, Potential, Future",group_1581,2,Financial,1,-2.3246245098823795,1.814549960602339,Papers
"Economic, Future.",group_1581,2,Financial,1,-2.3246245098823795,1.814549960602339,Papers
"Economic, Human, Infrastructure, Environmental.",group_2693,2,Financial,1,-2.389113035219123,1.491845098191075,Papers
"Economic, Human, Physical",group_2668,2,Financial,1,-2.3064649737797427,1.7596494211477767,Papers
"Economic, Human, Time",group_2668,2,Financial,1,-2.3064649737797427,1.7596494211477767,Papers
"Economic, Human.",group_2668,2,Financial,1,-2.3064649737797427,1.7596494211477767,Papers
"Economic, Infrastructure.",group_2750,2,Financial,1,-2.300612466499232,1.7959799807935797,Papers
"Economic, Job.",group_2196,2,Financial,1,-2.1162635434481403,1.9756986566209243,Papers
"Economic, Milk.",group_2608,2,Financial,1,-2.3234272133950027,1.7234639954726954,Papers
"Economic, Social",group_2615,2,Financial,1,-2.276644587103641,1.7140255442168124,Papers
"Economic, Social, Community, Status",group_2615,2,Financial,1,-2.276644587103641,1.7140255442168124,Papers
"Economic, Trust.",group_2750,2,Financial,1,-2.300612466499232,1.7959799807935797,Papers
"Economic, asset, crop.",group_2742,2,Financial,1,-2.32833266269246,1.79845897212706,Papers
"Economic, macro-economic.",group_2750,2,Financial,1,-2.300612466499232,1.7959799807935797,Papers
"Economic, social, cultural.",group_2615,2,Financial,1,-2.276644587103641,1.7140255442168124,Papers
"Economic, social, environmental.",group_2693,2,Financial,1,-2.389113035219123,1.491845098191075,Papers
"Economic, societal, cultural",group_2615,2,Financial,1,-2.276644587103641,1.7140255442168124,Papers
Economy-wide windfall losses,group_2727,2,Financial,1,-3.2695728115905345,2.085938503998923,Papers
Efficiency loss power loss.,group_1756,2,Financial,1,-3.0622477465696836,1.3749033623197333,Papers
Efficiency loss.,group_2728,2,Financial,1,-3.0849496476508182,1.2366109536072962,Papers
"Efficiency losses, Welfare losses",group_2728,2,Financial,1,-3.0849496476508182,1.2366109536072962,Papers
"Efficiency losses, payoff losses",group_2728,2,Financial,1,-3.0849496476508182,1.2366109536072962,Papers
Efficiency losses.,group_2728,2,Financial,2,-3.0849496476508182,1.2366109536072962,Papers
Electoral losses.,group_888,6,Detriment,1,-1.8434545953860306,0.024762691836751262,Papers
Embryo gestational sac loss.,group_2618,7,Separation,1,-1.4374876264329504,-2.4973544447426224,Papers
Emotional Psychological Social,group_2663,4,Emotional Turmoil,1,-0.7281000969001359,-1.5570430732884881,Papers
Emotional and Psychological Losses,group_147,6,Detriment,1,-2.265385616893603,-0.43357342761091267,Papers
Emotional and electoral.,group_2452,4,Emotional Turmoil,1,-0.9915139156085164,-1.4502969823933034,Papers
Emotional and informational.,group_2452,4,Emotional Turmoil,1,-0.9915139156085164,-1.4502969823933034,Papers
Emotional and practical losses.,group_147,6,Detriment,1,-2.265385616893603,-0.43357342761091267,Papers
Emotional and psychological,group_2650,4,Emotional Turmoil,1,-0.9465755438309622,-1.511866490866606,Papers
Emotional and psychological losses,group_147,6,Detriment,1,-2.265385616893603,-0.43357342761091267,Papers
Emotional and psychological losses.,group_147,6,Detriment,3,-2.265385616893603,-0.43357342761091267,Papers
Emotional and psychological.,group_2650,4,Emotional Turmoil,3,-0.9465755438309622,-1.511866490866606,Papers
Emotional and quality losses.,group_147,6,Detriment,1,-2.265385616893603,-0.43357342761091267,Papers
Emotional and relational losses.,group_1073,6,Detriment,3,-1.7829601839842346,-1.0480072675100067,Papers
Emotional and reproductive losses.,group_2648,7,Separation,1,-1.5871091933971733,-1.9934550581751935,Papers
Emotional and social,group_2663,4,Emotional Turmoil,1,-0.7281000969001359,-1.5570430732884881,Papers
Emotional and social loss.,group_1620,6,Detriment,1,-2.553015501926941,0.28190263750603667,Papers
Emotional and social losses,group_1620,6,Detriment,1,-2.553015501926941,0.28190263750603667,Papers
Emotional and social losses.,group_1620,6,Detriment,1,-2.553015501926941,0.28190263750603667,Papers
Emotional loss and bereavement.,group_19,4,Emotional Turmoil,1,-1.531378795808859,-1.3906922606245922,Papers
Emotional loss.,group_1073,6,Detriment,1,-1.7829601839842346,-1.0480072675100067,Papers
Emotional losses.,group_1073,6,Detriment,1,-1.7829601839842346,-1.0480072675100067,Papers
Emotional reproductive identity.,group_2707,4,Emotional Turmoil,1,-1.073800536440685,-1.609246614084728,Papers
"Emotional, Financial, Social",group_2670,2,Financial,1,-2.28255930125302,1.5887219007745073,Papers
"Emotional, Informational.",group_2452,4,Emotional Turmoil,1,-0.9915139156085164,-1.4502969823933034,Papers
"Emotional, Psychological",group_2650,4,Emotional Turmoil,1,-0.9465755438309622,-1.511866490866606,Papers
"Emotional, Psychological, Narcissistic",group_2650,4,Emotional Turmoil,1,-0.9465755438309622,-1.511866490866606,Papers
"Emotional, Psychological.",group_2650,4,Emotional Turmoil,4,-0.9465755438309622,-1.511866490866606,Papers
"Emotional, Self-value.",group_2452,4,Emotional Turmoil,1,-0.9915139156085164,-1.4502969823933034,Papers
"Emotional, Social",group_2663,4,Emotional Turmoil,1,-0.7281000969001359,-1.5570430732884881,Papers
"Emotional, Social, Financial.",group_2670,2,Financial,1,-2.28255930125302,1.5887219007745073,Papers
"Emotional, Social, Psychological",group_2663,4,Emotional Turmoil,2,-0.7281000969001359,-1.5570430732884881,Papers
"Emotional, attachment.",group_1039,4,Emotional Turmoil,1,-0.8907500242040123,-1.456480969444959,Papers
"Emotional, psychological losses.",group_147,6,Detriment,1,-2.265385616893603,-0.43357342761091267,Papers
"Emotional, psychological, incremental.",group_2650,4,Emotional Turmoil,1,-0.9465755438309622,-1.511866490866606,Papers
"Emotional, psychological, social",group_2663,4,Emotional Turmoil,1,-0.7281000969001359,-1.5570430732884881,Papers
"Emotional, psychological.",group_2650,4,Emotional Turmoil,2,-0.9465755438309622,-1.511866490866606,Papers
"Emotional, relational losses.",group_1073,6,Detriment,1,-1.7829601839842346,-1.0480072675100067,Papers
"Emotional, social, psychologic.",group_2663,4,Emotional Turmoil,1,-0.7281000969001359,-1.5570430732884881,Papers
"Emotional, social, support.",group_2663,4,Emotional Turmoil,1,-0.7281000969001359,-1.5570430732884881,Papers
Employment and economic losses.,group_2625,2,Financial,1,-2.3164758653297923,1.5146575985945798,Papers
"Employment, Financial",group_2196,2,Financial,1,-2.1162635434481403,1.9756986566209243,Papers
End-of-life care losses.,group_2754,6,Detriment,1,-2.603057334250302,-0.45995670698500213,Papers
End-of-life emotional losses,group_2754,6,Detriment,1,-2.603057334250302,-0.45995670698500213,Papers
End-of-life losses.,group_2754,6,Detriment,1,-2.603057334250302,-0.45995670698500213,Papers
"End-of-life, emotional, psychological.",group_2650,4,Emotional Turmoil,1,-0.9465755438309622,-1.511866490866606,Papers
Endowment losses.,group_2727,2,Financial,1,-3.2695728115905345,2.085938503998923,Papers
Energy and material.,group_799,3,Deprivation,1,1.6032540696846997,-1.1381588481552998,Papers
Energy losses.,group_1756,2,Financial,1,-3.0622477465696836,1.3749033623197333,Papers
Environmental Economic Losses,group_2649,2,Financial,1,-2.696718468255919,0.9686795157222787,Papers
Environmental accident losses,group_2643,6,Detriment,1,-2.6900451557348077,0.8241114965223092,Papers
Environmental and Economic Losses,group_2649,2,Financial,1,-2.696718468255919,0.9686795157222787,Papers
Environmental and Social,group_2693,2,Financial,1,-2.389113035219123,1.491845098191075,Papers
Environmental and ecological losses.,group_2649,2,Financial,1,-2.696718468255919,0.9686795157222787,Papers
Environmental and economic losses.,group_2649,2,Financial,1,-2.696718468255919,0.9686795157222787,Papers
Environmental economic losses.,group_2649,2,Financial,2,-2.696718468255919,0.9686795157222787,Papers
Environmental economic social,group_2693,2,Financial,1,-2.389113035219123,1.491845098191075,Papers
